iter	Logloss
0	0.692059676
1	0.6906797849
2	0.6891387563
3	0.6879052501
4	0.6866384968
5	0.6856668998
6	0.6849247785
7	0.6836250493
8	0.6827495598
9	0.6807307598
10	0.6794787046
11	0.6788245011
12	0.6777801726
13	0.6772713235
14	0.6760765966
15	0.6748074026
16	0.6736898546
17	0.672626489
18	0.6715175646
19	0.6706904001
20	0.6698990318
21	0.6690503353
22	0.6678459542
23	0.6671289445
24	0.6659632885
25	0.6649992846
26	0.6637983205
27	0.6628977194
28	0.6623008983
29	0.6607742425
30	0.6599186037
31	0.6588059912
32	0.6580415785
33	0.6567138089
34	0.6559245558
35	0.6551787464
36	0.6541406552
37	0.652865007
38	0.6517834722
39	0.6504404078
40	0.6499226096
41	0.6492134642
42	0.6486949067
43	0.6479111316
44	0.6468996164
45	0.6461188242
46	0.6453314152
47	0.6443315067
48	0.6435395418
49	0.6422832019
50	0.6415058809
51	0.6403614315
52	0.6394963012
53	0.6389539338
54	0.6381210744
55	0.6374636709
56	0.6367678135
57	0.6360604037
58	0.6353382415
59	0.6348266805
60	0.6341470942
61	0.6335196293
62	0.632633401
63	0.631954357
64	0.6308614866
65	0.6302826721
66	0.6296889425
67	0.6286281261
68	0.6277309962
69	0.6270450641
70	0.626473897
71	0.6258432864
72	0.6249145365
73	0.6242263807
74	0.6234840424
75	0.6229880474
76	0.6224077143
77	0.6219019024
78	0.6213775416
79	0.6209447324
80	0.6203871787
81	0.6197337345
82	0.619021823
83	0.6186604979
84	0.6182706984
85	0.6177994354
86	0.6173215012
87	0.6166899686
88	0.6162276546
89	0.6157453815
90	0.6150999643
91	0.6145596579
92	0.6139920161
93	0.6134817569
94	0.6128194178
95	0.611808011
96	0.6112587013
97	0.6105787896
98	0.6099020777
99	0.6091853934
100	0.6083439646
101	0.6081510446
102	0.6076372057
103	0.6071016178
104	0.6065219356
105	0.6058917589
106	0.605295914
107	0.6048792674
108	0.6043738894
109	0.6038178544
110	0.6033923129
111	0.6030245336
112	0.6027108825
113	0.602491983
114	0.6021965555
115	0.6019936016
116	0.6016384052
117	0.6012820155
118	0.6003539707
119	0.599657137
120	0.5993044897
121	0.5989474493
122	0.5984659355
123	0.5979042598
124	0.5974095665
125	0.5970097875
126	0.5962100125
127	0.5957296377
128	0.5949404931
129	0.5943329331
130	0.5937478271
131	0.5934674232
132	0.5929553741
133	0.5923907154
134	0.5917305458
135	0.5913418853
136	0.5905581644
137	0.5900883658
138	0.5897340914
139	0.5893699459
140	0.5890633998
141	0.5887759451
142	0.5885150664
143	0.5882205609
144	0.5878121582
145	0.5875254628
146	0.5871206398
147	0.5865970383
148	0.5864085114
149	0.5860696402
150	0.5855496183
151	0.584875998
152	0.5846475528
153	0.5843606947
154	0.5841041549
155	0.5838049851
156	0.5831109175
157	0.5828250899
158	0.5825409436
159	0.5822143842
160	0.5818353778
161	0.5816623626
162	0.5810244301
163	0.5805373841
164	0.5800461077
165	0.5795253266
166	0.5790881784
167	0.5787883577
168	0.5784907065
169	0.5780083249
170	0.5775958003
171	0.5770378669
172	0.5767727035
173	0.5765016282
174	0.5761644927
175	0.5758851734
176	0.5755102891
177	0.5751132219
178	0.5748893326
179	0.5747391511
180	0.5744808757
181	0.5741764992
182	0.5740467106
183	0.5736804499
184	0.5732668405
185	0.5726737075
186	0.57217256
187	0.5716838328
188	0.5711620211
189	0.5709858602
190	0.5705373223
191	0.5700228326
192	0.5694802482
193	0.5688295158
194	0.568575037
195	0.5683353649
196	0.5680630422
197	0.5678562917
198	0.5674332451
199	0.5670811402
200	0.5667387979
201	0.5664421229
202	0.5662876567
203	0.5660898011
204	0.5657805432
205	0.5656313379
206	0.5652670839
207	0.5649861919
208	0.5648450679
209	0.564627687
210	0.5643266189
211	0.5638325764
212	0.5635055288
213	0.5633471576
214	0.5631100888
215	0.5627643295
216	0.562257433
217	0.5621192377
218	0.5618764741
219	0.5614791357
220	0.5612989613
221	0.5610449164
222	0.5609073178
223	0.560478034
224	0.5601186613
225	0.5595948429
226	0.5594108176
227	0.5591757013
228	0.5588219693
229	0.5583604146
230	0.5578555791
231	0.5577762307
232	0.5572916254
233	0.5569256359
234	0.5567080381
235	0.556268612
236	0.556003991
237	0.5558448061
238	0.5555823545
239	0.555182467
240	0.5549631337
241	0.5546979702
242	0.554496318
243	0.5543039403
244	0.5541298404
245	0.553650713
246	0.5533788785
247	0.5532581475
248	0.5529567539
249	0.5526895837
250	0.5524221423
251	0.5517518847
252	0.551444742
253	0.5510072142
254	0.5509277574
255	0.5504901754
256	0.550052973
257	0.5496709294
258	0.5492538489
259	0.5490864743
260	0.5488509241
261	0.5484720805
262	0.5481962324
263	0.5478307853
264	0.5475742455
265	0.5470395797
266	0.5467358539
267	0.5464910293
268	0.5462406725
269	0.5460437931
270	0.5455822385
271	0.5453995691
272	0.545217171
273	0.545138148
274	0.5449022724
275	0.5445129069
276	0.5440836773
277	0.543943855
278	0.5438147715
279	0.543293448
280	0.5431369208
281	0.5429429159
282	0.5427868226
283	0.5426283428
284	0.5424288059
285	0.5423785284
286	0.5418748318
287	0.5415229981
288	0.5412437331
289	0.5410822161
290	0.5407883072
291	0.5405248793
292	0.5403477421
293	0.5401501034
294	0.5398807638
295	0.539530069
296	0.5390732872
297	0.5387851816
298	0.5383862161
299	0.538118829
300	0.5379047024
301	0.5376834165
302	0.5374672288
303	0.5371137137
304	0.5368096083
305	0.53647231
306	0.5362463598
307	0.5359869454
308	0.5355563599
309	0.5352690679
310	0.5349644202
311	0.5348526925
312	0.5345824308
313	0.534330013
314	0.5340921849
315	0.5339396712
316	0.5337524459
317	0.5335650038
318	0.5333265791
319	0.5328664345
320	0.5324043375
321	0.5320771815
322	0.5316955175
323	0.5312219223
324	0.5310064397
325	0.5307156223
326	0.5305148379
327	0.5301670719
328	0.5299833721
329	0.5297373542
330	0.5293789579
331	0.5289056338
332	0.5286720904
333	0.5283877814
334	0.5282072815
335	0.5280431612
336	0.5279252505
337	0.527778052
338	0.5276177282
339	0.5273029381
340	0.5271621938
341	0.5270483509
342	0.5268354174
343	0.526713222
344	0.5264948649
345	0.5263212531
346	0.5261930375
347	0.5259485382
348	0.5255897079
349	0.5254427806
350	0.5251084111
351	0.5246873171
352	0.5246047687
353	0.52422522
354	0.5240670657
355	0.5237336182
356	0.5235148272
357	0.5232188573
358	0.5230052188
359	0.5226936829
360	0.5225034747
361	0.5219508023
362	0.5218045258
363	0.5215794433
364	0.5213581574
365	0.5211593798
366	0.5210429335
367	0.5208716539
368	0.5205421656
369	0.5203303169
370	0.5201444476
371	0.5199182804
372	0.5196070158
373	0.5193816079
374	0.5192177587
375	0.5191583694
376	0.518899389
377	0.5186108495
378	0.5181902978
379	0.5179814322
380	0.5178375963
381	0.5176004191
382	0.517312205
383	0.5170307163
384	0.5166265441
385	0.5162973814
386	0.5161906977
387	0.5159091548
388	0.5157257261
389	0.5154144614
390	0.5152475208
391	0.5149840387
392	0.514778156
393	0.5146061171
394	0.5144477458
395	0.5141886026
396	0.5139121037
397	0.5137112108
398	0.5136067509
399	0.5134139393
400	0.513275961
401	0.5127790982
402	0.5125904628
403	0.5124671285
404	0.5123161876
405	0.5122325546
406	0.5120627393
407	0.5119100087
408	0.5118217112
409	0.5116915431
410	0.5116284115
411	0.5113654718
412	0.5112520628
413	0.5109290287
414	0.5107431594
415	0.5105993236
416	0.5103139298
417	0.5100499054
418	0.5097624507
419	0.5095502765
420	0.50948785
421	0.5092952554
422	0.5091730058
423	0.5089083305
424	0.508756793
425	0.5085728762
426	0.5083650953
427	0.5081035115
428	0.5076166282
429	0.5073984881
430	0.5071088639
431	0.5069992514
432	0.5067562166
433	0.5067010036
434	0.5065390527
435	0.5063544308
436	0.5061698089
437	0.5058596833
438	0.5056455024
439	0.5054906022
440	0.5053829965
441	0.5051999475
442	0.5049940106
443	0.5048654153
444	0.5045629913
445	0.5044280502
446	0.5042945736
447	0.5040741013
448	0.5039264689
449	0.503829819
450	0.503676546
451	0.5034481008
452	0.5032088083
453	0.5031620562
454	0.5029572583
455	0.5027445418
456	0.5026775052
457	0.502476992
458	0.5023041937
459	0.5021757069
460	0.5019862037
461	0.5018468153
462	0.5016697865
463	0.5015138017
464	0.5013289629
465	0.5010451962
466	0.5008753268
467	0.5007440196
468	0.5006883185
469	0.5004502734
470	0.5001348325
471	0.4998334932
472	0.4997261045
473	0.4996019566
474	0.4992818513
475	0.4992375941
476	0.4990766737
477	0.4988442693
478	0.4986605694
479	0.4985090862
480	0.4982236925
481	0.4979953016
482	0.4977586124
483	0.4976731896
484	0.4974487037
485	0.4970462671
486	0.496876018
487	0.4967978628
488	0.4966677489
489	0.4964198327
490	0.4961430626
491	0.4958861974
492	0.4956163154
493	0.4953983922
494	0.4953413351
495	0.495223316
496	0.4950328908
497	0.4948668721
498	0.4947442429
499	0.4944680694
500	0.4942854543
501	0.4940015792
502	0.4938484146
503	0.4936987212
504	0.4935450143
505	0.4932411258
506	0.4930587277
507	0.4927773474
508	0.4925239534
509	0.4922328106
510	0.4919717691
511	0.4918677973
512	0.4917288428
513	0.4915509463
514	0.4914592862
515	0.4913782565
516	0.4909817859
517	0.4908921868
518	0.4906815313
519	0.4905383463
520	0.4903205858
521	0.4902106479
522	0.4898512753
523	0.489567129
524	0.4892689896
525	0.4890160837
526	0.4887144732
527	0.4885545833
528	0.4884755061
529	0.4882950062
530	0.4880694356
531	0.487817289
532	0.4875877591
533	0.4873274228
534	0.487054395
535	0.4869291081
536	0.4865607322
537	0.4863986728
538	0.4861572651
539	0.4859884261
540	0.4858001704
541	0.4856707073
542	0.4855018683
543	0.4851434177
544	0.4850529508
545	0.4849598263
546	0.4847405472
547	0.4845148138
548	0.4842668435
549	0.484049788
550	0.4839145758
551	0.4836507683
552	0.4833192191
553	0.4832090101
554	0.4829436839
555	0.4828152513
556	0.4825939654
557	0.4824600007
558	0.4823099818
559	0.481959721
560	0.4818847658
561	0.4816664087
562	0.4813345883
563	0.481082062
564	0.4809968561
565	0.480809197
566	0.480662812
567	0.4805418641
568	0.4803750319
569	0.480149407
570	0.4800934347
571	0.4800354014
572	0.4797970852
573	0.4796176158
574	0.4794459023
575	0.4792818361
576	0.4791429901
577	0.4790623943
578	0.4787803632
579	0.4785621146
580	0.4784918238
581	0.4783419676
582	0.4782646803
583	0.4781316918
584	0.478014215
585	0.477875369
586	0.4777323467
587	0.4776047276
