iter	Passed	Remaining
0	8	8458
1	17	8863
2	27	9304
3	36	9191
4	45	8969
5	51	8457
6	59	8473
7	65	8121
8	75	8281
9	81	8030
10	90	8138
11	99	8159
12	107	8181
13	116	8239
14	126	8283
15	138	8488
16	148	8589
17	158	8641
18	170	8782
19	179	8799
20	191	8918
21	201	8972
22	210	8940
23	221	8989
24	229	8961
25	239	8971
26	249	8977
27	258	8970
28	267	8962
29	276	8931
30	287	8977
31	295	8953
32	303	8899
33	312	8890
34	322	8890
35	333	8924
36	342	8920
37	352	8932
38	362	8925
39	371	8909
40	381	8934
41	391	8931
42	401	8940
43	412	8965
44	423	8977
45	434	9011
46	444	9020
47	454	9017
48	466	9045
49	473	8993
50	484	9018
51	492	8981
52	501	8958
53	512	8975
54	521	8953
55	533	8986
56	541	8964
57	552	8977
58	561	8953
59	569	8923
60	577	8885
61	583	8828
62	590	8778
63	597	8734
64	602	8673
65	612	8661
66	621	8649
67	631	8658
68	642	8666
69	651	8655
70	662	8668
71	671	8657
72	682	8664
73	704	8817
74	715	8820
75	725	8824
76	735	8812
77	745	8808
78	753	8783
79	763	8783
80	773	8770
81	781	8752
82	789	8722
83	798	8702
84	808	8707
85	816	8681
86	828	8690
87	835	8663
88	845	8651
89	854	8635
90	862	8617
91	872	8613
92	881	8597
93	890	8582
94	899	8568
95	910	8573
96	919	8562
97	928	8547
98	938	8542
99	946	8519
100	958	8530
101	965	8503
102	976	8500
103	983	8473
104	992	8459
105	1002	8453
106	1010	8436
107	1020	8427
108	1028	8408
109	1040	8417
110	1053	8434
111	1061	8412
112	1071	8411
113	1079	8391
114	1087	8371
115	1094	8343
116	1103	8325
117	1111	8309
118	1121	8302
119	1130	8287
120	1139	8277
121	1151	8288
122	1159	8266
123	1170	8267
124	1179	8255
125	1188	8240
126	1197	8229
127	1206	8216
128	1217	8223
129	1225	8203
130	1236	8200
131	1245	8187
132	1254	8177
133	1264	8171
134	1272	8153
135	1282	8150
136	1290	8131
137	1300	8124
138	1311	8124
139	1320	8110
140	1332	8120
141	1345	8130
142	1353	8110
143	1365	8119
144	1375	8109
145	1382	8088
146	1390	8069
147	1400	8059
148	1408	8045
149	1417	8034
150	1428	8032
151	1436	8016
152	1446	8005
153	1451	7973
154	1461	7967
155	1469	7952
156	1478	7938
157	1484	7911
158	1496	7915
159	1508	7918
160	1515	7899
161	1526	7895
162	1532	7870
163	1543	7865
164	1548	7835
165	1557	7824
166	1562	7794
167	1569	7771
168	1577	7755
169	1587	7748
170	1595	7736
171	1606	7734
172	1614	7719
173	1626	7719
174	1670	7875
175	1709	8002
176	1741	8095
177	1753	8098
178	1762	8083
179	1771	8070
180	1793	8113
181	1804	8109
182	1811	8089
183	1822	8084
184	1832	8071
185	1841	8057
186	1851	8050
187	1860	8036
188	1870	8026
189	1878	8007
190	1889	8001
191	1898	7987
192	1907	7974
193	1917	7966
194	1924	7944
195	1934	7935
196	1942	7916
197	1952	7908
198	1961	7896
199	1970	7882
200	1980	7873
201	1989	7858
202	1999	7850
203	2007	7831
204	2018	7827
205	2026	7810
206	2036	7802
207	2045	7788
208	2053	7773
209	2062	7759
210	2069	7737
211	2078	7724
212	2086	7708
213	2095	7695
214	2102	7677
215	2112	7667
216	2123	7661
217	2134	7657
218	2144	7646
219	2152	7630
220	2159	7613
221	2167	7596
222	2178	7590
223	2186	7573
224	2197	7568
225	2205	7553
226	2215	7543
227	2224	7530
228	2232	7517
229	2244	7512
230	2251	7496
231	2260	7483
232	2267	7463
233	2280	7464
234	2293	7465
235	2306	7465
236	2316	7458
237	2329	7457
238	2343	7463
239	2354	7456
240	2363	7444
241	2375	7439
242	2386	7434
243	2395	7422
244	2407	7417
245	2418	7411
246	2427	7401
247	2439	7398
248	2449	7389
249	2460	7381
250	2474	7384
251	2489	7390
252	2502	7388
253	2511	7376
254	2524	7374
255	2535	7369
256	2543	7354
257	2553	7344
258	2565	7339
259	2585	7359
260	2596	7350
261	2607	7345
262	2619	7340
263	2630	7332
264	2641	7326
265	2651	7316
266	2661	7306
267	2672	7299
268	2683	7292
269	2692	7280
270	2704	7275
271	2714	7265
272	2723	7253
273	2729	7231
274	2739	7221
275	2748	7209
276	2758	7199
277	2770	7195
278	2782	7191
279	2794	7185
280	2804	7177
281	2817	7174
282	2828	7164
283	2837	7153
284	2847	7143
285	2855	7129
286	2867	7123
287	2877	7112
288	2887	7102
289	2900	7100
290	2911	7094
291	2920	7082
292	2933	7078
293	2942	7065
294	2950	7051
295	2962	7046
296	2972	7035
297	2982	7024
298	2992	7016
299	3000	7001
300	3012	6995
301	3023	6987
302	3032	6976
303	3043	6967
304	3052	6955
305	3063	6948
306	3074	6940
307	3083	6927
308	3095	6921
309	3108	6918
310	3116	6904
311	3128	6898
312	3140	6892
313	3149	6879
314	3161	6874
315	3171	6865
316	3180	6852
317	3192	6847
318	3204	6840
319	3213	6828
320	3225	6822
321	3235	6812
322	3244	6800
323	3256	6794
324	3268	6788
325	3277	6776
326	3289	6770
327	3300	6762
328	3310	6751
329	3322	6745
330	3333	6738
331	3344	6729
332	3356	6722
333	3365	6711
334	3375	6700
335	3386	6692
336	3396	6681
337	3404	6667
338	3414	6657
339	3422	6644
340	3435	6639
341	3446	6630
342	3457	6621
343	3470	6618
344	3483	6612
345	3492	6601
346	3503	6593
347	3515	6586
348	3521	6568
349	3533	6562
350	3542	6550
351	3553	6542
352	3565	6535
353	3576	6527
354	3586	6516
355	3598	6509
356	3608	6499
357	3618	6489
358	3629	6481
359	3638	6467
360	3648	6458
361	3660	6450
362	3669	6439
363	3681	6432
364	3693	6425
365	3704	6416
366	3716	6409
367	3727	6401
368	3737	6391
369	3747	6381
370	3758	6371
371	3767	6359
372	3779	6353
373	3790	6345
374	3799	6332
375	3811	6325
376	3823	6318
377	3832	6306
378	3844	6299
379	3854	6289
380	3863	6277
381	3876	6270
382	3885	6259
383	3895	6249
384	3907	6242
385	3918	6232
386	3928	6221
387	3940	6216
388	3949	6203
389	3960	6194
390	3973	6188
391	3982	6177
392	3991	6165
393	4002	6156
394	4010	6142
395	4023	6137
396	4034	6128
397	4043	6116
398	4055	6109
399	4068	6102
400	4076	6089
401	4090	6084
402	4107	6084
403	4125	6085
404	4141	6083
405	4158	6084
406	4185	6097
407	4200	6094
408	4211	6085
409	4222	6076
410	4236	6070
411	4250	6066
412	4265	6062
413	4276	6053
414	4288	6045
415	4301	6038
416	4313	6030
417	4323	6019
418	4336	6012
419	4346	6002
420	4355	5990
421	4367	5982
422	4377	5971
423	4386	5958
424	4397	5949
425	4407	5938
426	4418	5929
427	4430	5920
428	4440	5909
429	4450	5898
430	4461	5890
431	4470	5877
432	4484	5871
433	4494	5861
434	4501	5847
435	4511	5835
436	4517	5820
437	4527	5809
438	4537	5798
439	4548	5788
440	4559	5779
441	4567	5766
442	4579	5757
443	4588	5745
444	4597	5734
445	4608	5724
446	4618	5713
447	4628	5702
448	4638	5691
449	4647	5680
450	4656	5668
451	4665	5656
452	4676	5646
453	4685	5635
454	4695	5624
455	4707	5615
456	4714	5601
457	4725	5591
458	4733	5579
459	4744	5569
460	4754	5558
461	4762	5546
462	4775	5539
463	4785	5528
464	4794	5516
465	4806	5507
466	4814	5495
467	4824	5484
468	4834	5474
469	4844	5462
470	4855	5453
471	4863	5440
472	4875	5431
473	4884	5420
474	4893	5408
475	4904	5399
476	4912	5386
477	4922	5376
478	4932	5364
479	4941	5353
480	4950	5342
481	4959	5329
482	4970	5320
483	4978	5307
484	4989	5297
485	4998	5286
486	5005	5272
487	5014	5261
488	5023	5249
489	5034	5240
490	5043	5228
491	5056	5220
492	5071	5215
493	5084	5207
494	5096	5199
495	5105	5187
496	5117	5178
497	5125	5166
498	5136	5156
499	5145	5145
500	5154	5134
501	5165	5124
502	5177	5115
503	5187	5104
504	5197	5094
505	5206	5082
506	5214	5070
507	5221	5057
508	5231	5046
509	5242	5037
510	5251	5025
511	5263	5016
512	5272	5004
513	5282	4994
514	5290	4982
515	5299	4970
516	5308	4959
517	5317	4947
518	5326	4936
519	5334	4924
520	5345	4914
521	5353	4902
522	5362	4890
523	5368	4876
524	5377	4865
525	5386	4853
526	5396	4843
527	5404	4831
528	5414	4820
529	5426	4812
530	5439	4804
531	5447	4792
532	5457	4782
533	5465	4769
534	5475	4759
535	5481	4745
536	5491	4734
537	5501	4724
538	5511	4713
539	5522	4704
540	5532	4693
541	5542	4683
542	5549	4670
543	5560	4660
544	5570	4650
545	5578	4638
546	5590	4629
547	5597	4617
548	5607	4606
549	5617	4595
550	5626	4584
551	5635	4574
552	5643	4562
553	5654	4552
554	5662	4540
555	5673	4530
556	5684	4520
557	5693	4510
558	5705	4500
559	5715	4490
560	5725	4480
561	5735	4469
562	5743	4458
563	5754	4448
564	5764	4437
565	5774	4427
566	5784	4417
567	5793	4406
568	5804	4396
569	5840	4405
570	5871	4411
571	5907	4420
572	5921	4413
573	5932	4403
574	5962	4406
575	5970	4395
576	5980	4384
577	5989	4372
578	6000	4362
579	6010	4352
580	6018	4340
581	6028	4329
582	6036	4317
583	6048	4308
584	6056	4296
585	6066	4286
586	6074	4274
587	6083	4262
588	6093	4252
589	6101	4240
590	6113	4230
591	6120	4218
592	6131	4208
593	6138	4195
594	6147	4184
595	6154	4171
596	6163	4160
597	6172	4149
598	6181	4138
599	6192	4128
600	6202	4117
601	6212	4107
602	6222	4096
603	6230	4084
604	6239	4073
605	6247	4061
606	6258	4051
607	6267	4040
608	6276	4029
609	6282	4016
610	6292	4005
611	6301	3995
612	6310	3984
613	6321	3973
614	6329	3962
615	6340	3952
616	6348	3940
617	6357	3929
618	6362	3916
619	6373	3906
620	6382	3895
621	6391	3884
622	6402	3874
623	6410	3862
624	6421	3852
625	6428	3840
626	6438	3830
627	6445	3818
628	6454	3807
629	6460	3793
630	6468	3782
631	6474	3769
632	6483	3758
633	6491	3747
634	6504	3738
635	6516	3729
636	6524	3717
637	6533	3707
638	6540	3695
639	6551	3685
640	6558	3673
641	6568	3662
642	6575	3650
643	6585	3640
644	6592	3628
645	6602	3617
646	6608	3605
647	6618	3595
648	6629	3585
649	6637	3574
650	6648	3564
651	6656	3552
652	6667	3542
653	6674	3530
654	6683	3520
655	6690	3508
656	6699	3497
657	6705	3485
658	6715	3475
659	6722	3463
660	6732	3452
661	6738	3440
662	6748	3430
663	6759	3420
664	6767	3409
665	6778	3399
666	6784	3387
667	6794	3377
668	6801	3365
669	6812	3355
670	6818	3343
671	6829	3333
672	6835	3321
673	6844	3310
674	6851	3298
675	6861	3288
676	6868	3276
677	6877	3266
678	6884	3254
679	6894	3244
680	6901	3232
681	6910	3222
682	6918	3211
683	6927	3200
684	6937	3190
685	6947	3180
686	6959	3170
687	6968	3160
688	6977	3149
689	6985	3138
690	6993	3127
691	7003	3117
692	7010	3105
693	7020	3095
694	7027	3084
695	7039	3074
696	7045	3062
697	7056	3053
698	7063	3041
699	7073	3031
700	7080	3020
701	7089	3009
702	7096	2998
703	7105	2987
704	7112	2976
705	7121	2965
706	7128	2954
707	7138	2944
708	7148	2933
709	7156	2923
710	7167	2913
711	7173	2901
712	7185	2892
713	7193	2881
714	7204	2871
715	7213	2861
716	7223	2851
717	7234	2841
718	7240	2829
719	7251	2820
720	7259	2809
721	7267	2798
722	7274	2786
723	7283	2776
724	7289	2764
725	7297	2754
726	7305	2743
727	7313	2732
728	7319	2720
729	7328	2710
730	7336	2699
731	7346	2689
732	7355	2679
733	7363	2668
734	7372	2658
735	7382	2647
736	7393	2638
737	7402	2627
738	7413	2618
739	7421	2607
740	7430	2597
741	7436	2585
742	7445	2575
743	7453	2564
744	7462	2554
745	7471	2544
746	7480	2533
747	7489	2523
748	7498	2512
749	7507	2502
750	7516	2492
751	7526	2482
752	7535	2471
753	7544	2461
754	7550	2450
755	7560	2440
756	7567	2429
757	7576	2418
758	7582	2407
759	7589	2396
760	7595	2385
761	7604	2375
762	7612	2364
763	7622	2354
764	7627	2343
765	7637	2333
766	7646	2323
767	7658	2313
768	7671	2304
769	7679	2293
770	7690	2284
771	7700	2274
772	7710	2264
773	7720	2254
774	7727	2243
775	7737	2233
776	7744	2222
777	7754	2212
778	7761	2201
779	7771	2191
780	7777	2181
781	7787	2170
782	7794	2160
783	7804	2150
784	7811	2139
785	7820	2129
786	7828	2118
787	7837	2108
788	7846	2098
789	7854	2087
790	7863	2077
791	7871	2067
792	7880	2057
793	7888	2046
794	7898	2036
795	7905	2025
796	7914	2015
797	7921	2005
798	7931	1995
799	7938	1984
800	7948	1974
801	7955	1964
802	7966	1954
803	7972	1943
804	7981	1933
805	7988	1922
806	7998	1912
807	8006	1902
808	8015	1892
809	8023	1882
810	8032	1871
811	8042	1862
812	8051	1851
813	8062	1842
814	8072	1832
815	8081	1822
816	8091	1812
817	8099	1802
818	8110	1792
819	8117	1781
820	8126	1771
821	8133	1761
822	8143	1751
823	8150	1740
824	8160	1730
825	8168	1720
826	8177	1710
827	8187	1700
828	8196	1690
829	8207	1680
830	8214	1670
831	8226	1661
832	8233	1650
833	8242	1640
834	8249	1630
835	8258	1620
836	8265	1609
837	8274	1599
838	8281	1589
839	8289	1579
840	8296	1568
841	8303	1558
842	8309	1547
843	8319	1537
844	8328	1527
845	8338	1517
846	8349	1508
847	8357	1498
848	8366	1488
849	8375	1477
850	8385	1468
851	8394	1458
852	8403	1448
853	8408	1437
854	8416	1427
855	8423	1416
856	8432	1407
857	8438	1396
858	8448	1386
859	8457	1376
860	8468	1367
861	8475	1356
862	8483	1346
863	8488	1336
864	8498	1326
865	8506	1316
866	8516	1306
867	8523	1296
868	8533	1286
869	8540	1276
870	8550	1266
871	8557	1256
872	8566	1246
873	8573	1235
874	8581	1225
875	8586	1215
876	8596	1205
